City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Bredasdorp,ZA,2022-03-22 13:16:48,-34.5322,20.0403,74.07,67,93,16.49
157,Serenje,ZM,2022-03-22 13:16:48,-13.2325,30.2352,66.02,82,100,9.06
158,Dingle,PH,2022-03-22 13:16:49,10.9995,122.6711,79.12,80,29,6.24
159,Kenora,CA,2022-03-22 13:16:49,49.8167,-94.4337,31.17,100,100,8.05
160,Yellowknife,CA,2022-03-22 13:15:05,62.456,-114.3525,-1.59,84,20,10.36
161,Carnarvon,AU,2022-03-22 13:16:50,-24.8667,113.6333,78.87,78,96,13.8
162,Karatuzskoye,RU,2022-03-22 13:16:50,53.6072,92.8667,24.49,90,100,4.07
163,Gummidipundi,IN,2022-03-22 13:16:50,13.4,80.15,89.6,72,69,10.02
164,Diplo,PK,2022-03-22 13:16:51,24.4667,69.584,84.81,26,2,16.08
165,Itarema,BR,2022-03-22 13:14:38,-2.9248,-39.9167,82.51,76,99,11.27
166,Toora-Khem,RU,2022-03-22 13:16:51,52.4675,96.11,11.12,95,94,1.66
167,Nantucket,US,2022-03-22 13:16:52,41.2835,-70.0995,42.94,45,0,19.57
168,Surat,IN,2022-03-22 13:16:51,21.1667,72.8333,93.18,22,40,6.91
169,Ust-Omchug,RU,2022-03-22 13:16:52,61.15,149.6333,8.71,96,100,4.76
170,Lorengau,PG,2022-03-22 13:16:52,-2.0226,147.2712,81.91,76,52,5.37
171,Hualmay,PE,2022-03-22 13:16:53,-11.0964,-77.6139,70.45,83,9,7.92
172,Tonantins,BR,2022-03-22 13:16:53,-2.8731,-67.8022,74.21,95,100,1.86
173,Buala,SB,2022-03-22 13:16:54,-8.145,159.5921,80.73,78,100,2.73
174,Hervey Bay,AU,2022-03-22 13:12:11,-25.2986,152.8535,71.02,83,0,14.0
175,Chelno-Vershiny,RU,2022-03-22 13:16:54,54.4333,51.1,30.87,88,73,11.77
176,Sao Joao Da Barra,BR,2022-03-22 13:16:55,-21.6403,-41.0511,75.29,66,92,15.08
177,Limon,CR,2022-03-22 13:16:55,10.0,-83.0333,73.29,88,75,0.0
178,Muroto,JP,2022-03-22 13:16:55,33.2833,134.15,50.94,68,100,18.05
179,Fuxin,CN,2022-03-22 13:16:56,42.0156,121.6589,37.44,38,100,8.05
180,Forecariah,GN,2022-03-22 13:16:57,9.4306,-13.0881,100.2,25,7,6.17
