City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
167,Gorom-Gorom,BF,103.68,clear sky,14.4439,-0.2361,Gorom-Gorom
168,Ilulissat,GL,24.82,clear sky,69.2167,-51.1,Ilulissat
169,San Cristobal,VE,68.18,light rain,7.7669,-72.225,San Cristobal
170,Uribia,CO,88.3,broken clouds,11.7139,-72.266,"Uribia, La Guajira"
171,Touros,BR,86.76,overcast clouds,-5.1989,-35.4608,Touros
172,Iqaluit,CA,19.13,mist,63.7506,-68.5145,Iqaluit
173,Port Shepstone,ZA,73.15,light rain,-30.7414,30.455,Port Shepstone
174,Kuopio,FI,26.55,clear sky,62.8924,27.677,Kuopio
175,Huadian,CN,32.63,clear sky,42.9633,126.7478,Jilin City
176,Cabildo,AR,70.25,clear sky,-38.4842,-61.8954,Cabildo
177,Nantucket,US,49.14,few clouds,41.2835,-70.0995,Nantucket
178,Roma,US,32.95,snow,43.2128,-75.4557,Rome
179,Katsuura,JP,57.11,overcast clouds,35.1333,140.3,Katsuura
180,Victor Harbor,AU,64.0,overcast clouds,-35.5667,138.6167,Victor Harbor - Goolwa
181,Myitkyina,MM,71.01,scattered clouds,25.3833,97.4,Myitkyina
182,Plaster Rock,CA,37.96,light rain,46.9065,-67.39,Plaster Rock
183,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Carnarvon
184,Avera,US,57.54,clear sky,33.194,-82.5271,Avera
185,Airai,TL,60.82,overcast clouds,-8.9266,125.4092,Atsabe
186,Itarema,BR,82.04,overcast clouds,-2.9248,-39.9167,Itarema
187,Gidam,IN,85.21,broken clouds,18.9833,81.4,Geedam
188,Ranong,TH,80.29,few clouds,9.9658,98.6348,Bang Rin
189,Caravelas,BR,87.06,clear sky,-17.7125,-39.2481,Caravelas
190,Terrace,CA,37.31,broken clouds,54.5163,-128.6035,Terrace
191,Kuytun,RU,3.07,broken clouds,54.3419,101.5036,Kuitun
192,Lavrentiya,RU,5.16,overcast clouds,65.5833,-171.0,Lavrentiya
193,Chuy,UY,77.02,few clouds,-33.6971,-53.4616,Chuy
194,Beira,MZ,80.69,broken clouds,-19.8436,34.8389,Beira
195,Aksarka,RU,8.28,overcast clouds,66.5606,67.7975,Aksarka
196,Broken Hill,AU,65.91,scattered clouds,-31.95,141.4333,Broken Hill
197,Santa Maria,BR,72.7,scattered clouds,-29.6842,-53.8069,Santa Maria
198,Rawson,AR,64.45,clear sky,-43.3002,-65.1023,Rawson
199,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,Mount Isa
200,Nelson Bay,AU,70.0,light rain,-32.7167,152.15,Nelson Bay - Corlette
201,Luba,GQ,87.69,light rain,3.4568,8.5547,Luba
202,Nieuwpoort,BE,65.01,overcast clouds,51.1244,2.7735,Middelkerke
203,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Vila Velha
204,Lerwick,GB,48.2,broken clouds,60.1545,-1.1494,Lerwick
205,Kidal,ML,98.71,clear sky,18.4411,1.4078,Kidal
206,Vynohradove,UA,45.39,overcast clouds,46.3696,32.9398,Vynohradove
207,Nakusp,CA,34.14,overcast clouds,50.2499,-117.8023,Nakusp
208,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,Denpasar
209,Lakselv,NO,22.82,clear sky,70.0513,24.9718,Lakselv
210,Hobyo,SO,81.46,broken clouds,5.3505,48.5268,Hobyo
211,Lata,PT,75.07,overcast clouds,40.1629,-8.3327,Coimbra
212,Hailar,CN,14.83,broken clouds,49.2,119.7,Hulunbuir
213,Vanavara,RU,16.95,light snow,60.34,102.2797,Vanavara
214,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Wilson Hill
215,Kirkwall,GB,55.45,clear sky,58.9848,-2.9587,Kirkwall
216,Tankhoy,RU,21.56,light snow,51.5528,105.1306,Tankhoi
217,Zacatepec,MX,78.42,scattered clouds,18.65,-99.2,Centro
218,Broome,US,34.02,overcast clouds,42.2506,-75.833,Chenango Forks
219,Mnogovershinnyy,RU,9.97,overcast clouds,53.9353,139.9242,Mnogovershinnyi
220,Akyab,MM,80.49,clear sky,20.15,92.9,Sittwe
221,Koumac,NC,77.77,broken clouds,-20.5667,164.2833,Koumac
222,Hasaki,JP,50.4,overcast clouds,35.7333,140.8333,Kamisu
223,Maputo,MZ,82.08,few clouds,-25.9653,32.5892,Maputo
224,Tara,RU,6.08,few clouds,56.8944,74.371,Tara
225,Kalat,PK,64.31,clear sky,29.0225,66.5916,Kalāt
226,Ancud,CL,53.22,broken clouds,-41.8697,-73.8203,Ancud
227,Novaya Zaimka,RU,16.05,scattered clouds,56.4857,66.9241,Novaya Zaimka
228,North Platte,US,32.11,clear sky,41.1239,-100.7654,North Platte
229,Chake Chake,TZ,85.35,scattered clouds,-5.2459,39.7666,Chake Chake
230,Klaksvik,FO,50.92,clear sky,62.2266,-6.589,Klaksvík
231,Cururupu,BR,80.51,overcast clouds,-1.8283,-44.8683,Cururupu
