City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
197,Sao Filipe,CV,14.8961,-24.4956,70.32,72,4,12.68,clear sky,2022-03-24 00:53:35
198,Port Blair,IN,11.6667,92.75,75.24,94,40,2.3,mist,2022-03-24 00:53:35
199,Guisijan,PH,11.0932,122.0461,84.87,62,1,2.39,clear sky,2022-03-24 00:53:35
200,Tubmanburg,LR,6.8708,-10.8172,75.74,95,10,2.21,clear sky,2022-03-24 00:53:35
201,Vengerovo,RU,55.6848,76.7471,20.8,95,100,11.48,overcast clouds,2022-03-24 00:53:36
202,Faya,SA,18.3851,42.4509,59.52,69,6,4.23,clear sky,2022-03-24 00:53:36
203,Pacific Grove,US,36.6177,-121.9166,68.88,86,40,10.0,scattered clouds,2022-03-24 00:53:36
204,Inirida,CO,3.8653,-67.9239,77.13,81,35,1.52,scattered clouds,2022-03-24 00:53:37
205,Qeshm,IR,26.9581,56.2719,71.47,76,0,3.11,clear sky,2022-03-24 00:53:37
206,Quatre Cocos,MU,-20.2078,57.7625,80.1,78,42,12.41,light rain,2022-03-24 00:53:37
207,Eston,CA,51.1501,-108.7514,58.93,58,16,6.46,few clouds,2022-03-24 00:53:38
208,Haines Junction,CA,60.7522,-137.5108,33.75,51,100,6.91,overcast clouds,2022-03-24 00:53:38
209,Coihaique,CL,-45.5752,-72.0662,48.81,66,20,0.0,few clouds,2022-03-24 00:53:38
210,Mar Del Plata,AR,-38.0023,-57.5575,71.1,96,100,12.66,overcast clouds,2022-03-24 00:53:39
211,Moindou,NC,-21.6924,165.677,80.6,73,100,8.9,light rain,2022-03-24 00:53:39
212,Pec,XK,42.6591,20.2883,38.01,67,0,5.77,clear sky,2022-03-24 00:53:39
213,Yatou,CN,37.15,122.3833,52.29,68,5,12.5,clear sky,2022-03-24 00:53:39
214,Caarapo,BR,-22.6342,-54.8222,74.82,72,23,5.5,few clouds,2022-03-24 00:53:40
215,Lompoc,US,34.6391,-120.4579,81.79,79,0,16.11,clear sky,2022-03-24 00:53:40
216,Cidreira,BR,-30.1811,-50.2056,72.86,84,100,9.48,moderate rain,2022-03-24 00:53:40
217,Kavaratti,IN,10.5669,72.642,82.83,67,100,3.36,overcast clouds,2022-03-24 00:53:41
218,Padang,ID,-0.9492,100.3543,73.45,61,78,2.75,broken clouds,2022-03-24 00:53:41
219,Talnakh,RU,69.4865,88.3972,7.21,81,78,8.59,broken clouds,2022-03-24 00:53:41
220,Meulaboh,ID,4.1363,96.1285,78.31,87,100,3.74,overcast clouds,2022-03-24 00:53:42
221,Anadyr,RU,64.75,177.4833,12.7,78,20,0.0,fog,2022-03-24 00:53:42
222,Turukhansk,RU,65.8167,87.9833,9.3,94,100,6.91,overcast clouds,2022-03-24 00:53:42
